NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC193;0;0;39;3;19
NGC194;0;0;39;3;2
NGC195;0;0;39;-9;11
NGC196;0;0;39;0;54
NGC197;0;0;39;0;53
NGC198;0;0;39;2;47
NGC199;0;0;39;3;8
NGC200;0;0;39;2;53
NGC201;0;0;39;0;51
NGC202;0;0;39;3;32
NGC203;0;0;39;3;26
NGC204;0;0;39;3;17
NGC205;MES110;0;40;41;41
NGC206;0;0;40;40;44
NGC207;0;0;39;-14;14
NGC208;0;0;40;2;45
NGC209;0;0;39;-18;36
NGC210;0;0;40;-13;52
NGC211;0;0;39;3;26
NGC212;0;0;40;-56;9
NGC213;0;0;41;16;28
NGC214;0;0;41;25;29
NGC215;0;0;40;-56;12
NGC216;0;0;41;-21;2
NGC217;0;0;41;-10;1
NGC218;0;0;41;36;21
NGC219;0;0;42;0;54
NGC220;0;0;40;-73;24
NGC221;MES32;0;42;40;51
NGC222;0;0;40;-73;23
NGC223;0;0;42;0;50
NGC224;MES31;0;42;41;16
NGC225;0;0;43;61;46
NGC226;0;0;42;32;34
NGC227;0;0;42;-1;31
NGC228;0;0;42;23;30
NGC229;0;0;43;23;30
NGC230;0;0;42;-23;37
NGC231;0;0;41;-73;21
NGC232;0;0;42;-23;33
NGC233;0;0;43;30;35
NGC234;0;0;43;14;20
NGC235;0;0;42;-23;32
NGC235;0;0;42;-23;32
NGC236;0;0;43;2;57
NGC237;0;0;43;0;7
NGC238;0;0;43;-50;11
NGC239;0;0;44;-3;45
NGC240;0;0;45;6;6
NGC241;0;0;43;-73;26
NGC242;0;0;43;-73;26
NGC243;0;0;46;29;57
NGC244;0;0;45;-15;35
NGC245;0;0;46;-1;43
NGC246;0;0;47;-11;52
NGC247;0;0;47;-20;45
NGC248;0;0;45;-73;22
NGC249;0;0;45;-73;4
NGC250;0;0;47;7;54
NGC251;0;0;47;19;35
NGC252;0;0;48;27;37
NGC253;0;0;47;-25;17
NGC254;0;0;47;-31;25
NGC255;0;0;47;-11;28
NGC256;0;0;45;-73;30
